2	1.6	0.015	0.11	2.7	0.52	2.0	10.5	3	0.03	0.012	471	42	19.5
2	1.5	0.015	0.06	2.5	0.50	1.0	7.5	3	0.03	0.013	495	29	28.5
2	1.8	0.014	0.08	2.6	0.67	3.5	11.5	3	0.03	0.010	307	33	19.0
2	1.5	0.009	0.06	2.7	0.53	0.0	12.5	3	0.03	0.011	387	27	22.0
2	1.5	0.015	0.13	2.7	0.73	5.5	13.0	3	0.03	0.007	471	36	20.5
2	0.9	0.009	0.06	2.9	0.43	3.5	13.5	3	0.03	0.012	451	45	15.5
2	1.2	0.014	0.05	3.0	0.73	3.0	14.5	3	0.03	0.009	467	43	22.5
2	1.0	0.015	0.08	3.1	0.53	1.0	7.0	3	0.03	0.008	447	34	15.0
2	1.8	0.013	0.06	3.5	0.68	2.0	5.5	3	0.03	0.007	476	26	18.0
2	1.8	0.011	0.08	2.8	0.60	3.0	13.0	3	0.03	0.013	345	26	15.5
2	1.3	0.014	0.05	2.6	0.44	2.0	12.5	3	0.03	0.005	473	31	34.0
2	1.6	0.013	0.11	3.0	0.59	0.0	10.0	3	0.03	0.011	385	36	15.0
2	1.2	0.014	0.07	3.2	0.40	6.0	15.0	3	0.03	0.015	335	20	19.5
2	1.8	0.011	0.08	2.8	0.58	3.0	12.5	3	0.03	0.011	412	25	20.5
2	1.2	0.014	0.05	3.2	0.54	1.5	12.5	3	0.03	0.006	470	36	18.0
2	1.8	0.015	0.12	3.5	0.41	1.0	14.0	3	0.03	0.009	393	25	19.0
2	1.4	0.012	0.13	2.6	0.35	1.5	15.0	3	0.03	0.013	487	34	22.0
2	1.2	0.015	0.11	2.8	0.36	1.5	13.0	3	0.03	0.009	419	33	17.5
2	1.7	0.015	0.06	3.2	0.55	0.5	5.0	3	0.03	0.006	436	24	18.0
2	1.1	0.013	0.13	2.9	0.53	0.0	13.5	3	0.03	0.007	485	43	15.0
2	1.4	0.013	0.08	2.7	0.38	2.0	14.5	3	0.03	0.011	467	21	29.5
2	1.8	0.014	0.06	2.8	0.74	3.0	15.0	3	0.03	0.013	325	23	22.5
2	1.2	0.014	0.09	2.8	0.40	1.0	8.5	3	0.03	0.007	443	22	17.0
2	1.0	0.013	0.11	3.0	0.40	4.0	13.0	3	0.03	0.009	426	37	17.0
2	1.5	0.011	0.08	2.6	0.62	3.5	14.5	3	0.03	0.010	499	25	27.5
2	1.3	0.013	0.11	2.6	0.50	5.0	14.5	3	0.03	0.011	378	25	21.0
2	1.2	0.012	0.06	2.8	0.41	1.0	4.5	3	0.03	0.011	484	27	16.0
2	1.4	0.013	0.10	2.6	0.62	2.0	15.0	3	0.03	0.015	377	35	21.5
2	1.2	0.015	0.05	3.0	0.45	0.5	14.0	3	0.03	0.008	358	45	16.0
2	1.1	0.007	0.07	2.5	0.60	2.5	12.5	3	0.03	0.010	494	20	17.0
2	1.0	0.014	0.06	2.5	0.47	2.0	10.5	3	0.03	0.007	389	41	24.0
